,old_link,image,item_in_class_art,item,link,primary,secondary
0,https://www.minted.com//product/wall-art-prints/MIN-QI3-GOA/take-a-break,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,0art.jpg,0art.jpg,https://www.minted.com//product/wall-art-prints/MIN-QI3-GOA/take-a-break,[100.58300845  96.91605032  95.89406767],[197.10401507 196.28048072 202.2943055 ]
1,https://www.minted.com//product/wall-art-prints/MIN-I1K-GNA/hard-soft,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,1art.jpg,1art.jpg,https://www.minted.com//product/wall-art-prints/MIN-I1K-GNA/hard-soft,[225.1445602  226.55008504 218.19179018],[108.15459484 114.20501057  79.18782443]
2,https://www.minted.com//product/wall-art-prints/MIN-BTP-GNA/movement,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,2art.jpg,2art.jpg,https://www.minted.com//product/wall-art-prints/MIN-BTP-GNA/movement,[75.32809315 75.15121379 75.25497766],[210.05448462 208.60022679 209.46384724]
3,https://www.minted.com//product/wall-art-prints/MIN-0T5-GNA/the-bigger-picture,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,3art.jpg,3art.jpg,https://www.minted.com//product/wall-art-prints/MIN-0T5-GNA/the-bigger-picture,[79.14591564 79.52899197 55.03092477],[163.90006884 138.62574899  75.65203572]
4,https://www.minted.com//product/wall-art-prints/MIN-DJT-GNA/last-tuesday,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,4art.jpg,4art.jpg,https://www.minted.com//product/wall-art-prints/MIN-DJT-GNA/last-tuesday,[65.38922805 60.71560582 64.85698559],[215.18630929 211.76667    210.59264255]
5,https://www.minted.com//product/wall-art-prints/MIN-NES-GNA/history-repeats,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,5art.jpg,5art.jpg,https://www.minted.com//product/wall-art-prints/MIN-NES-GNA/history-repeats,[78.01727328 75.23264387 82.51938584],[202.72393421 202.60734831 203.15632907]
6,https://www.minted.com//product/wall-art-prints/MIN-I89-GNA/squiggles,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,6art.jpg,6art.jpg,https://www.minted.com//product/wall-art-prints/MIN-I89-GNA/squiggles,[167.59551915 166.07927867 166.65830869],[107.92426893 108.20164228 118.21644953]
7,https://www.minted.com//product/wall-art-prints/MIN-FWB-GNA/geo-abstract,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,7art.jpg,7art.jpg,https://www.minted.com//product/wall-art-prints/MIN-FWB-GNA/geo-abstract,[75.21471702 66.73374726 52.51633519],[202.12378585 133.41292639  96.06673638]
8,https://www.minted.com//product/wall-art-prints/MIN-LY4-GNA/it-caused-a-ripple,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,8art.jpg,8art.jpg,https://www.minted.com//product/wall-art-prints/MIN-LY4-GNA/it-caused-a-ripple,[162.87982432 150.00361095 142.48374565],[213.93243807 211.74804647 209.91453282]
9,https://www.minted.com//product/wall-art-prints/MIN-WQK-GNA/two-sisters,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,9art.jpg,9art.jpg,https://www.minted.com//product/wall-art-prints/MIN-WQK-GNA/two-sisters,[111.53535468  73.65879907  71.47365369],[220.18133595 199.56026417 181.64410945]
10,https://www.minted.com//product/wall-art-prints/MIN-C2E-GNA/reaching-sky,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,10art.jpg,10art.jpg,https://www.minted.com//product/wall-art-prints/MIN-C2E-GNA/reaching-sky,[194.65937151 190.01804965 185.57394319],[65.7899389  62.85279586 61.57075309]
11,https://www.minted.com//product/wall-art-prints/MIN-GPS-GNA/tomah,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,11art.jpg,11art.jpg,https://www.minted.com//product/wall-art-prints/MIN-GPS-GNA/tomah,[139.1433666  146.26770542 115.03082741],[75.66347827 82.28693011 64.59280392]
12,https://www.minted.com//product/wall-art-prints/MIN-V9I-GNA/otonio,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,12art.jpg,12art.jpg,https://www.minted.com//product/wall-art-prints/MIN-V9I-GNA/otonio,[207.07243483 185.752517   188.50509124],[92.26595706 71.34399352 65.54898573]
13,https://www.minted.com//product/wall-art-prints/MIN-62A-GNA/moonlight-seascape,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,13art.jpg,13art.jpg,https://www.minted.com//product/wall-art-prints/MIN-62A-GNA/moonlight-seascape,[70.01031691 66.83766369 62.55513852],[206.42218347 208.71353665 207.4886778 ]
14,https://www.minted.com//product/wall-art-prints/MIN-0B3-GOA/desert-super-moon,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,14art.jpg,14art.jpg,https://www.minted.com//product/wall-art-prints/MIN-0B3-GOA/desert-super-moon,[186.68047992 180.15548227 181.83891288],[119.68570783  84.43482065  62.96913307]
15,https://www.minted.com//product/wall-art-prints/MIN-G3R-GNA/sacred-beginning-no-1,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,15art.jpg,15art.jpg,https://www.minted.com//product/wall-art-prints/MIN-G3R-GNA/sacred-beginning-no-1,[ 95.39905471 105.58665091 122.36474947],[170.46790915 177.62854917 190.23866483]
16,https://www.minted.com//product/wall-art-prints/MIN-03R-GNA/sacred-beginning-no-2,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,16art.jpg,16art.jpg,https://www.minted.com//product/wall-art-prints/MIN-03R-GNA/sacred-beginning-no-2,[ 95.84780921 106.27698787 123.05800284],[172.26562597 179.53804372 189.99981331]
17,https://www.minted.com//product/wall-art-prints/MIN-QL4-GNA/rectangle-with-me,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,17art.jpg,17art.jpg,https://www.minted.com//product/wall-art-prints/MIN-QL4-GNA/rectangle-with-me,[212.29744351 212.06244475 211.69212546],[48.22878117 48.2265834  48.22225874]
18,https://www.minted.com//product/wall-art-prints/MIN-WNZ-GNA/calm-forest-no18,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,18art.jpg,18art.jpg,https://www.minted.com//product/wall-art-prints/MIN-WNZ-GNA/calm-forest-no18,[93.43808497 84.88740341 63.18134741],[231.90314971 221.69448569 215.88673682]
19,https://www.minted.com//product/wall-art-prints/MIN-NF6-GNA/calm-forest-no-20,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,19art.jpg,19art.jpg,https://www.minted.com//product/wall-art-prints/MIN-NF6-GNA/calm-forest-no-20,[228.92955297 221.52739154 216.11146131],[88.22995592 84.40474009 64.73461733]
20,https://www.minted.com//product/wall-art-prints/MIN-0PR-GNA/days-in-paris,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,20art.jpg,20art.jpg,https://www.minted.com//product/wall-art-prints/MIN-0PR-GNA/days-in-paris,[204.48933482 196.93343923 195.02385099],[126.39210615 121.80700751 118.83132327]
21,https://www.minted.com//product/wall-art-prints/MIN-I9Y-GNA/following-the-pack,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,21art.jpg,21art.jpg,https://www.minted.com//product/wall-art-prints/MIN-I9Y-GNA/following-the-pack,[191.94220683 191.82186089 192.30985887],[65.55371956 71.6169683  80.10363192]
22,https://www.minted.com//product/wall-art-prints/MIN-N5P-GNA/the-pacific,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,22art.jpg,22art.jpg,https://www.minted.com//product/wall-art-prints/MIN-N5P-GNA/the-pacific,[155.32672383 154.45755259 150.43576326],[191.13997698 191.07100923 188.7334976 ]
23,https://www.minted.com//product/wall-art-prints/MIN-A64-GNA/news-flash,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,23art.jpg,23art.jpg,https://www.minted.com//product/wall-art-prints/MIN-A64-GNA/news-flash,[231.31378174 229.72612633 230.72018941],[35.11636241 34.17905275 34.84367797]
24,https://www.minted.com//product/wall-art-prints/MIN-QJ5-GOA/dippin-in,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,24art.jpg,24art.jpg,https://www.minted.com//product/wall-art-prints/MIN-QJ5-GOA/dippin-in,[227.29280262 218.17194538 208.05490494],[157.17755715  79.62332043  75.6010727 ]
